%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:28:27:423;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:430;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:431;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:433;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:435;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:437;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:438;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:440;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:442;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:444;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:446;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:447;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:449;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:451;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:452;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:454;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:456;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:458;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:466;08:28:27:416;1448567064.61;(0.4747568130493164, 0.67161013285319);49.140335083;0.88394200699;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:497;08:28:27:476;1448567064.64;(0.2074486255645752, 0.7640375985039605);43.5905036926;0.808198297592;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:515;08:28:27:476;1448567064.64;(0.2074486255645752, 0.7640375985039605);43.5905036926;0.808198297592;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:532;08:28:27:476;1448567064.64;(0.2074486255645752, 0.7640375985039605);43.5905036926;0.808198297592;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:548;08:28:27:545;1448567064.76;(0.49859070777893066, 0.6581103218926323);47.1380119324;0.985303387936;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:28:27:566;08:28:27:545;1448567064.76;(0.49859070777893066, 0.6581103218926323);47.1380119324;0.985303387936;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
