%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
05:25:57:769;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(0.0, 0.0);
05:25:57:784;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:789;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:792;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:794;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:796;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:798;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:800;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:802;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:804;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:806;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:807;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:809;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:811;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:813;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:815;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:818;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:820;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:821;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:840;05:25:57:765;1448988120.85;(0.4023097276687622, 0.550014156765408);56.8489570618;0.958894634954;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:857;05:25:57:842;1448988120.92;(0.40150563716888427, 0.5509360843234592);56.6442298889;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:890;05:25:57:842;1448988120.92;(0.40150563716888427, 0.5509360843234592);56.6442298889;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:906;05:25:57:897;1448988120.99;(0.9182842254638672, 0.7874429066975912);29.0238437653;0.625675015277;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:25:57:923;05:25:57:897;1448988120.99;(0.9182842254638672, 0.7874429066975912);29.0238437653;0.625675015277;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
05:26:02:705;05:26:02:677;1448988125.75;(0.3988951206207275, 0.5566962348090279);55.1385231018;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
