%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
04:56:13:015;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:021;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:023;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:025;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:026;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:028;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:029;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:030;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:031;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:032;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:033;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:034;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:035;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:036;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:037;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:037;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:039;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:040;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:053;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:071;04:56:13:001;1449763924.85;(0.42540321350097654, 0.47376255459255645);68.8798065186;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
04:56:13:105;04:56:13:072;1449763924.92;(0.4267399311065674, 0.47333318922254775);68.9221572876;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
