%Timestamp,timestamp_write;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
11:58:36:177;0;0;0;0;0;0;0;0;0;();(0.0, 0.0);
11:58:36:203;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:851;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:854;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:856;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:859;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:862;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:866;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:869;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:872;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:876;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:880;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:884;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:887;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:890;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:893;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:895;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:898;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:906;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:908;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:912;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:922;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:939;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:972;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:36:988;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:37:005;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:42:382;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:42:388;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:42:395;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:42:401;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
11:58:42:407;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
