%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
09:05:02:804;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
09:05:02:817;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:821;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:823;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:825;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:828;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:830;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:832;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:835;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:836;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:837;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:838;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:839;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:840;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:841;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:842;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:844;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:845;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:851;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:884;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:901;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:917;1448050860.68;(0.5856852054595947, 0.5774099985758463);84.4561309814;0.730010067135;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:934;09:05:02:932;1448050860.76;(0.5862829208374023, 0.5627033233642578);84.4651412964;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:02:951;09:05:02:932;1448050860.76;(0.5862829208374023, 0.5627033233642578);84.4651412964;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:433;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:436;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:438;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:441;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:443;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:446;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:448;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:451;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:453;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:454;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:456;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:457;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:458;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:459;09:05:04:393;1448050862.35;(0.6058932304382324, 0.6222040600246853);82.0244522095;0.835401105635;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:05:04:460;09:05:04:460;1448050862.38;(0.599918270111084, 0.6214935726589627);80.7062149048;0.890695954253;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
