%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
07:40:16:817;;;;;;;;;;;;;;07:40:16:778;1447958414.62;(0.2974617719650269, 0.2567286173502604);26.9353504181;1.0;2;0;0;0;0;();(0.0, 0.0);
07:40:16:849;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:853;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:857;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:860;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:864;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:868;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:871;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:875;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:879;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:882;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:886;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:889;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:893;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:896;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:16:900;;;;;;;;;;;;;;07:40:16:842;1447958414.68;(0.29734249114990235, 0.2569380866156684);26.9758491516;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:098;;;;;;;;;;;;;;07:40:17:042;1447958414.88;(0.2973655700683594, 0.25666927761501734);27.0572414398;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:100;;;;;;;;;;;;;;07:40:17:042;1447958414.88;(0.2973655700683594, 0.25666927761501734);27.0572414398;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:102;;;;;;;;;;;;;;07:40:17:042;1447958414.88;(0.2973655700683594, 0.25666927761501734);27.0572414398;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:104;;;;;;;;;;;;;;07:40:17:042;1447958414.88;(0.2973655700683594, 0.25666927761501734);27.0572414398;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:106;;;;;;;;;;;;;;07:40:17:042;1447958414.88;(0.2973655700683594, 0.25666927761501734);27.0572414398;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:109;;;;;;;;;;;;;;07:40:17:042;1447958414.88;(0.2973655700683594, 0.25666927761501734);27.0572414398;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:112;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:115;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:117;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:119;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:121;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:123;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:125;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
07:40:17:126;;;;;;;;;;;;;;07:40:17:109;1447958414.95;(0.2973059892654419, 0.2568775600857205);27.1005859375;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
