%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
10:03:12:874;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(0.0, 0.0);
10:03:12:878;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:879;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:881;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:882;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:884;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:886;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:888;;;;;;;;;;;;;;10:03:12:852;1447966990.79;(0.5695556163787842, 0.410374026828342);70.6180953979;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:895;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:897;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:898;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:900;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:901;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:903;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:904;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:906;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:912;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:914;;;;;;;;;;;;;;10:03:12:889;1447966990.83;(0.5695947170257568, 0.41024267408582904);70.7159042358;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
10:03:12:929;;;;;;;;;;;;;;10:03:12:920;1447966990.86;(0.5695912361145019, 0.41015273200141056);70.8447418213;1.0;2;0;0;;0;0;();();(-2000.0, -2000.0);
