%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:39:16:500;1448308516.03;(0.4812623023986816, 0.3675339592827691);49.0576477051;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:513;08:39:16:495;1448308516.06;(0.4804253578186035, 0.36777275933159725);48.8541717529;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:521;08:39:16:495;1448308516.06;(0.4804253578186035, 0.36777275933159725);48.8541717529;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:529;08:39:16:495;1448308516.06;(0.4804253578186035, 0.36777275933159725);48.8541717529;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:532;08:39:16:495;1448308516.06;(0.4804253578186035, 0.36777275933159725);48.8541717529;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:536;08:39:16:495;1448308516.06;(0.4804253578186035, 0.36777275933159725);48.8541717529;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:540;08:39:16:495;1448308516.06;(0.4804253578186035, 0.36777275933159725);48.8541717529;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:543;08:39:16:495;1448308516.06;(0.4804253578186035, 0.36777275933159725);48.8541717529;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:548;08:39:16:544;1448308516.09;(0.4805941581726074, 0.36170031229654953);43.0402832031;0.601452695708;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:553;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:556;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:560;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:563;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:567;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:570;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:574;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:578;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:582;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:585;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:588;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:592;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:596;08:39:16:547;1448308516.13;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:624;08:39:16:617;1448308516.19;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:641;08:39:16:617;1448308516.19;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:659;08:39:16:617;1448308516.19;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:16:677;08:39:16:617;1448308516.19;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
