%Timestamp,timestamp_write;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
09:02:18:199;0;0;0;0;0;0;0;0;0;();(0.0, 0.0);
09:02:18:206;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:211;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:221;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:226;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:231;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:236;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:241;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:246;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:251;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:255;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:260;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:265;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:270;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:275;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:280;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:284;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:289;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:294;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:299;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:304;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:309;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:314;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:320;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:326;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:332;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:338;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:342;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:347;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:352;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:357;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:362;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:367;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:372;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:377;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:382;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:387;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:392;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:397;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:402;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:407;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:412;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:417;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:422;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:427;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:432;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:437;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:442;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:447;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:451;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
09:02:18:456;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
