%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
12:24:26:137;12:24:26:088;1448408424.64;(0.6183753967285156, 0.8554108619689942);82.4040222168;0.687868673357;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:154;12:24:26:088;1448408424.64;(0.6183753967285156, 0.8554108619689942);82.4040222168;0.687868673357;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:170;12:24:26:159;1448408424.71;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:187;12:24:26:159;1448408424.71;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:221;12:24:26:159;1448408424.71;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:237;12:24:26:225;1448408424.78;(0.6173819541931153, 0.8631886906094022);83.8277359009;0.748162777229;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:254;12:24:26:225;1448408424.78;(0.6173819541931153, 0.8631886906094022);83.8277359009;0.748162777229;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:270;12:24:26:225;1448408424.78;(0.6173819541931153, 0.8631886906094022);83.8277359009;0.748162777229;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:287;12:24:26:225;1448408424.78;(0.6173819541931153, 0.8631886906094022);83.8277359009;0.748162777229;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:321;12:24:26:291;1448408424.84;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:337;12:24:26:291;1448408424.84;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:354;12:24:26:291;1448408424.84;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:24:26:371;12:24:26:355;1448408424.91;(0.6155343055725098, 0.8589390648735894);84.9907989502;0.941132965231;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
