%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
11:00:09:422;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
11:00:09:428;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:430;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:433;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:435;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:437;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:440;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:442;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:444;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:446;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:448;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:451;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:453;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:455;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:457;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:459;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:463;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:466;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:479;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:497;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:512;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:529;1448057766.82;(0.5383328437805176, 0.6858750237358942);68.6494598389;0.688218398319;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:562;11:00:09:558;1448057767.02;(0.5408362865447998, 0.6771565119425456);69.605506897;0.865765096137;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:00:09:579;11:00:09:558;1448057767.02;(0.5408362865447998, 0.6771565119425456);69.605506897;0.865765096137;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
