%Timestamp,timestamp_write;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
12:49:34:362;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:381;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:401;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:421;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:441;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:458;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:477;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:494;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:513;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:532;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:551;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:570;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:592;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:611;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:630;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:651;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:671;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:690;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:709;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:744;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:760;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:779;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:802;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:821;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:838;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:855;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:877;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:896;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:915;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:932;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:949;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:34:986;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:003;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:021;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:042;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:062;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:079;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:101;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:119;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:136;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:154;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:175;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:198;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:217;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:234;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:251;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:268;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:303;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:321;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:338;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:355;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:374;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:394;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:419;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:439;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:455;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:472;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:489;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:525;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:547;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:564;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:581;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:603;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:621;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:642;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:660;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:682;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:719;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:723;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:737;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:752;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:769;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:802;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:818;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:835;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:852;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:49:35:868;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
