%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:39:58:144;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:158;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:166;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:170;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:174;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:178;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:181;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:185;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:188;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:192;1448308557.72;(0.4964107036590576, 0.3612455156114366);48.170249939;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:197;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:200;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:204;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:207;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:211;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:215;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:219;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:223;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:226;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:230;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:234;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:240;08:39:58:191;1448308557.76;(0.4964266300201416, 0.36104409959581163);48.1471786499;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:260;08:39:58:257;1448308557.82;(0.4960922718048096, 0.3604801601833767);48.7097015381;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:296;08:39:58:257;1448308557.82;(0.4960922718048096, 0.3604801601833767);48.7097015381;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:312;08:39:58:257;1448308557.82;(0.4960922718048096, 0.3604801601833767);48.7097015381;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:328;08:39:58:325;1448308557.86;(0.49620723724365234, 0.3603472391764323);48.8998031616;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:342;08:39:58:331;1448308557.92;(0.4963840961456299, 0.3600116729736328);49.6103363037;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:359;08:39:58:331;1448308557.92;(0.4963840961456299, 0.3600116729736328);49.6103363037;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:392;08:39:58:331;1448308557.92;(0.4963840961456299, 0.3600116729736328);49.6103363037;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:410;08:39:58:395;1448308557.99;(0.4964737892150879, 0.35995754665798607);49.6618690491;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:427;08:39:58:395;1448308557.99;(0.4964737892150879, 0.35995754665798607);49.6618690491;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:443;08:39:58:395;1448308557.99;(0.4964737892150879, 0.35995754665798607);49.6618690491;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:462;08:39:58:456;1448308558.02;(0.496507453918457, 0.3595597585042317);49.7602729797;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:492;08:39:58:456;1448308558.02;(0.496507453918457, 0.3595597585042317);49.7602729797;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:509;08:39:58:456;1448308558.02;(0.496507453918457, 0.3595597585042317);49.7602729797;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:530;08:39:58:526;1448308558.12;(0.5178761959075928, 0.35525860256618924);49.3130302429;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:544;08:39:58:526;1448308558.12;(0.5178761959075928, 0.35525860256618924);49.3130302429;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:560;08:39:58:526;1448308558.12;(0.5178761959075928, 0.35525860256618924);49.3130302429;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:593;08:39:58:588;1448308558.16;(0.5184741020202637, 0.35487030877007375);49.1210823059;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:609;08:39:58:588;1448308558.16;(0.5184741020202637, 0.35487030877007375);49.1210823059;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:627;08:39:58:588;1448308558.16;(0.5184741020202637, 0.35487030877007375);49.1210823059;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:643;08:39:58:588;1448308558.16;(0.5184741020202637, 0.35487030877007375);49.1210823059;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:660;08:39:58:657;1448308558.22;(0.5186886787414551, 0.35524554782443574);48.7977523804;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:696;08:39:58:657;1448308558.22;(0.5186886787414551, 0.35524554782443574);48.7977523804;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:713;08:39:58:657;1448308558.22;(0.5186886787414551, 0.35524554782443574);48.7977523804;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:730;08:39:58:724;1448308558.26;(0.5186221122741699, 0.35559628804524734);48.1545410156;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:746;08:39:58:737;1448308558.32;(0.518888521194458, 0.3553460862901475);47.3790245056;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:763;08:39:58:737;1448308558.32;(0.518888521194458, 0.3553460862901475);47.3790245056;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:797;08:39:58:790;1448308558.39;(0.5193074703216553, 0.355101055569119);46.7402381897;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:813;08:39:58:790;1448308558.39;(0.5193074703216553, 0.355101055569119);46.7402381897;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:829;08:39:58:790;1448308558.39;(0.5193074703216553, 0.355101055569119);46.7402381897;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:846;08:39:58:790;1448308558.39;(0.5193074703216553, 0.355101055569119);46.7402381897;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:862;08:39:58:858;1448308558.46;(0.5196185111999512, 0.35502268473307297);46.1452484131;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:896;08:39:58:858;1448308558.46;(0.5196185111999512, 0.35502268473307297);46.1452484131;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:913;08:39:58:858;1448308558.46;(0.5196185111999512, 0.35502268473307297);46.1452484131;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:927;08:39:58:921;1448308558.52;(0.526368236541748, 0.3527311537000868);45.5550765991;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:39:58:944;08:39:58:921;1448308558.52;(0.526368236541748, 0.3527311537000868);45.5550765991;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
