%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
06:40:26:755;;;;;;;;;;;;;;06:40:26:698;1447954824.49;(0.32071173191070557, 0.24309048122829857);26.4904537201;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:057;;;;;;;;;;;;;;06:40:28:978;1447954826.76;(0.3205688238143921, 0.24283591376410585);26.4952545166;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:059;;;;;;;;;;;;;;06:40:28:978;1447954826.76;(0.3205688238143921, 0.24283591376410585);26.4952545166;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:061;;;;;;;;;;;;;;06:40:28:978;1447954826.76;(0.3205688238143921, 0.24283591376410585);26.4952545166;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:062;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:064;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:066;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:067;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:069;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:071;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:073;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:075;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:076;;;;;;;;;;;;;;06:40:29:062;1447954826.83;(0.3207613468170166, 0.24311684502495656);26.7207756042;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
