%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
11:55:29:248;1448061086.68;(0.4246788024902344, 0.6765967263115777);64.4033050537;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
11:55:29:255;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:259;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:261;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:263;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:266;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:268;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:271;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:272;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:273;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:274;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:55:29:275;11:55:29:243;1448061086.71;(0.42356750965118406, 0.6769558588663738);64.37840271;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
