%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
05:11:28:461;;;;;;;;;;;;;;1447949486.11;(0.40013368129730226, 0.29946967230902777);26.8023548126;1.0;2;0;0;0;0;();(0.0, 0.0);
05:11:28:474;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:478;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:483;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:487;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:491;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:495;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:499;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:503;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:507;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:511;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:515;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:518;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:520;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:523;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:527;;;;;;;;;;;;;;05:11:28:464;1447949486.17;(0.40019707679748534, 0.299429448445638);26.6395206451;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:734;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:736;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:739;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:741;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:744;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:746;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:748;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:749;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:751;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:753;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:755;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:756;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:758;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:28:760;;;;;;;;;;;;;;05:11:28:715;1447949486.44;(0.40042617321014407, 0.2992358737521701);26.4714393616;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:933;;;;;;;;;;;;;;05:11:31:867;1447949489.57;(0.40023205280303953, 0.29974492390950525);27.0827674866;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:934;;;;;;;;;;;;;;05:11:31:867;1447949489.57;(0.40023205280303953, 0.29974492390950525);27.0827674866;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:937;;;;;;;;;;;;;;05:11:31:867;1447949489.57;(0.40023205280303953, 0.29974492390950525);27.0827674866;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:939;;;;;;;;;;;;;;05:11:31:867;1447949489.57;(0.40023205280303953, 0.29974492390950525);27.0827674866;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:942;;;;;;;;;;;;;;05:11:31:867;1447949489.57;(0.40023205280303953, 0.29974492390950525);27.0827674866;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:945;;;;;;;;;;;;;;05:11:31:867;1447949489.57;(0.40023205280303953, 0.29974492390950525);27.0827674866;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:948;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:950;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:953;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:955;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:957;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:959;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:961;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:963;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:964;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:966;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:967;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:972;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:31:988;;;;;;;;;;;;;;05:11:31:947;1447949489.64;(0.40012316703796386, 0.2997779846191406);26.5982666016;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:005;;;;;;;;;;;;;;05:11:31:991;1447949489.71;(0.4002958059310913, 0.2996238708496094);26.5067176819;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:023;;;;;;;;;;;;;;05:11:31:991;1447949489.71;(0.4002958059310913, 0.2996238708496094);26.5067176819;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:038;;;;;;;;;;;;;;05:11:31:991;1447949489.71;(0.4002958059310913, 0.2996238708496094);26.5067176819;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:055;;;;;;;;;;;;;;05:11:31:991;1447949489.71;(0.4002958059310913, 0.2996238708496094);26.5067176819;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:088;;;;;;;;;;;;;;05:11:32:075;1447949489.77;(0.40030865669250487, 0.29955088297526045);27.3499565125;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:105;;;;;;;;;;;;;;05:11:32:075;1447949489.77;(0.40030865669250487, 0.29955088297526045);27.3499565125;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:125;;;;;;;;;;;;;;05:11:32:116;1447949489.84;(0.4003830671310425, 0.29926918877495656);26.4569683075;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:148;;;;;;;;;;;;;;05:11:32:116;1447949489.84;(0.4003830671310425, 0.29926918877495656);26.4569683075;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:189;;;;;;;;;;;;;;05:11:32:116;1447949489.84;(0.4003830671310425, 0.29926918877495656);26.4569683075;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:191;;;;;;;;;;;;;;05:11:32:116;1447949489.84;(0.4003830671310425, 0.29926918877495656);26.4569683075;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:207;;;;;;;;;;;;;;05:11:32:199;1447949489.91;(0.40006265640258787, 0.29976192050509987);26.5978603363;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:226;;;;;;;;;;;;;;05:11:32:199;1447949489.91;(0.40006265640258787, 0.29976192050509987);26.5978603363;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:244;;;;;;;;;;;;;;05:11:32:199;1447949489.91;(0.40006265640258787, 0.29976192050509987);26.5978603363;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:260;;;;;;;;;;;;;;05:11:32:199;1447949489.91;(0.40006265640258787, 0.29976192050509987);26.5978603363;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:276;;;;;;;;;;;;;;05:11:32:199;1447949489.91;(0.40006265640258787, 0.29976192050509987);26.5978603363;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:293;;;;;;;;;;;;;;05:11:32:279;1447949489.97;(0.40021188259124757, 0.29885982937282984);26.6214046478;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:326;;;;;;;;;;;;;;05:11:32:323;1447949490.04;(0.400160813331604, 0.29937850104437935);26.8674316406;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:342;;;;;;;;;;;;;;05:11:32:323;1447949490.04;(0.400160813331604, 0.29937850104437935);26.8674316406;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:359;;;;;;;;;;;;;;05:11:32:323;1447949490.04;(0.400160813331604, 0.29937850104437935);26.8674316406;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:389;;;;;;;;;;;;;;05:11:32:323;1447949490.04;(0.400160813331604, 0.29937850104437935);26.8674316406;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:405;;;;;;;;;;;;;;05:11:32:323;1447949490.04;(0.400160813331604, 0.29937850104437935);26.8674316406;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:422;;;;;;;;;;;;;;05:11:32:408;1447949490.11;(0.4001986265182495, 0.29948069254557297);27.1973190308;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:439;;;;;;;;;;;;;;05:11:32:408;1447949490.11;(0.4001986265182495, 0.29948069254557297);27.1973190308;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:455;;;;;;;;;;;;;;05:11:32:447;1447949490.17;(0.4003442287445068, 0.2996066623263889);27.0609493256;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:488;;;;;;;;;;;;;;05:11:32:447;1447949490.17;(0.4003442287445068, 0.2996066623263889);27.0609493256;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:505;;;;;;;;;;;;;;05:11:32:447;1447949490.17;(0.4003442287445068, 0.2996066623263889);27.0609493256;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:522;;;;;;;;;;;;;;05:11:32:447;1447949490.17;(0.4003442287445068, 0.2996066623263889);27.0609493256;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:538;;;;;;;;;;;;;;05:11:32:531;1447949490.24;(0.40036511421203613, 0.29959475199381513);27.3396949768;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:555;;;;;;;;;;;;;;05:11:32:531;1447949490.24;(0.40036511421203613, 0.29959475199381513);27.3396949768;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:595;;;;;;;;;;;;;;05:11:32:531;1447949490.24;(0.40036511421203613, 0.29959475199381513);27.3396949768;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:32:599;;;;;;;;;;;;;;05:11:32:531;1447949490.24;(0.40036511421203613, 0.29959475199381513);27.3396949768;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:153;05:11:33:151;0;10;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:067;1447949490.77;(0.4002411365509033, 0.2989958869086371);26.7547016144;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:157;05:11:33:157;0;10;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:162;05:11:33:162;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:164;05:11:33:164;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:168;05:11:33:168;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:170;05:11:33:170;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:171;05:11:33:171;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:173;05:11:33:173;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:174;05:11:33:174;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:176;05:11:33:176;0;0;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:178;05:11:33:178;0;0;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:179;05:11:33:179;0;0;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:181;05:11:33:181;0;0;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:182;05:11:33:182;0;11;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:184;05:11:33:184;0;11;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:185;05:11:33:185;0;11;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:187;05:11:33:187;0;11;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:190;05:11:33:190;0;11;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:194;05:11:33:194;0;11;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:151;1447949490.84;(0.4003472328186035, 0.29977484809027777);26.8225727081;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:208;05:11:33:208;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:195;1447949490.91;(0.40034024715423583, 0.2994891696506077);26.4429645538;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:224;05:11:33:224;0;9;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:195;1447949490.91;(0.40034024715423583, 0.2994891696506077);26.4429645538;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:240;05:11:33:240;0;0;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:195;1447949490.91;(0.40034024715423583, 0.2994891696506077);26.4429645538;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:258;05:11:33:258;0;14;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:195;1447949490.91;(0.40034024715423583, 0.2994891696506077);26.4429645538;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:290;05:11:33:290;0;15;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:275;1447949490.97;(0.40036907196044924, 0.2992821587456598);26.5025405884;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:308;05:11:33:308;0;1;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:275;1447949490.97;(0.40036907196044924, 0.2992821587456598);26.5025405884;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:323;05:11:33:323;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:319;1447949491.04;(0.3999748706817627, 0.2995841979980469);26.8781909943;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:340;05:11:33:340;0;0;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:319;1447949491.04;(0.3999748706817627, 0.2995841979980469);26.8781909943;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:373;05:11:33:373;0;0;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:319;1447949491.04;(0.3999748706817627, 0.2995841979980469);26.8781909943;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:390;05:11:33:389;0;5;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:319;1447949491.04;(0.3999748706817627, 0.2995841979980469);26.8781909943;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
05:11:33:406;05:11:33:406;0;10;-1.5;1;0;0;0;0;1;1;1;1;05:11:33:399;1447949491.11;(0.40007007122039795, 0.2998874664306641);26.2943248749;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
