%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
03:29:39:689;1448289939.27;(0.6276228904724122, 0.7199573092990451);31.3837547302;0.770216213474;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:702;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:707;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:711;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:715;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:719;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:723;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:727;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:730;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:734;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:738;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:742;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:746;03:29:39:686;1448289939.31;(0.5578978061676025, 0.78146849738227);21.5373210907;0.80663862223;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:751;03:29:39:745;1448289939.34;(0.9116284370422363, 0.6556529151068793);18.6170768738;0.803179059892;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:756;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:760;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:764;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:768;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:772;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:775;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:779;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:786;03:29:39:749;1448289939.38;(0.6518417358398437, 0.7640412860446506);75.2320327759;0.835292463305;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:810;03:29:39:807;1448289939.47;(0.6500732421875, 0.767800776163737);76.5436706543;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:828;03:29:39:807;1448289939.47;(0.6500732421875, 0.767800776163737);76.5436706543;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:845;03:29:39:807;1448289939.47;(0.6500732421875, 0.767800776163737);76.5436706543;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:877;03:29:39:873;1448289939.51;(0.6426515579223633, 0.7588532129923502);78.6134262085;0.894981594143;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:894;03:29:39:879;1448289939.54;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:912;03:29:39:879;1448289939.54;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:927;03:29:39:879;1448289939.54;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:960;03:29:39:953;1448289939.57;(0.6426017761230469, 0.7708439297146268);78.9376068115;0.739586254194;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:977;03:29:39:953;1448289939.57;(0.6426017761230469, 0.7708439297146268);78.9376068115;0.739586254194;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:39:993;03:29:39:953;1448289939.57;(0.6426017761230469, 0.7708439297146268);78.9376068115;0.739586254194;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:010;03:29:40:006;1448289939.64;(0.640392255783081, 0.7687383863661024);80.9220962524;0.852277587218;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:026;03:29:40:006;1448289939.64;(0.640392255783081, 0.7687383863661024);80.9220962524;0.852277587218;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:060;03:29:40:006;1448289939.64;(0.640392255783081, 0.7687383863661024);80.9220962524;0.852277587218;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:077;03:29:40:070;1448289939.71;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:094;03:29:40:070;1448289939.71;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:110;03:29:40:070;1448289939.71;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:126;03:29:40:070;1448289939.71;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:161;03:29:40:138;1448289939.77;(0.6625448226928711, 0.7744135326809354);82.599029541;0.768621296414;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:177;03:29:40:138;1448289939.77;(0.6625448226928711, 0.7744135326809354);82.599029541;0.768621296414;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:194;03:29:40:138;1448289939.77;(0.6625448226928711, 0.7744135326809354);82.599029541;0.768621296414;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:210;03:29:40:206;1448289939.84;(0.6776381969451905, 0.783864148457845);81.0367126465;0.923222937613;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:227;03:29:40:206;1448289939.84;(0.6776381969451905, 0.783864148457845);81.0367126465;0.923222937613;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:260;03:29:40:206;1448289939.84;(0.6776381969451905, 0.783864148457845);81.0367126465;0.923222937613;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:277;03:29:40:271;1448289939.91;(0.6534452438354492, 0.7790499369303385);81.6172790527;0.856922696489;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:293;03:29:40:271;1448289939.91;(0.6534452438354492, 0.7790499369303385);81.6172790527;0.856922696489;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:310;03:29:40:271;1448289939.91;(0.6534452438354492, 0.7790499369303385);81.6172790527;0.856922696489;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:327;03:29:40:271;1448289939.91;(0.6534452438354492, 0.7790499369303385);81.6172790527;0.856922696489;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:360;03:29:40:342;1448289940.01;(0.6453202724456787, 0.7740296469794379);83.2962265015;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:377;03:29:40:342;1448289940.01;(0.6453202724456787, 0.7740296469794379);83.2962265015;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:394;03:29:40:342;1448289940.01;(0.6453202724456787, 0.7740296469794379);83.2962265015;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:411;03:29:40:401;1448289940.04;(0.648538064956665, 0.7698971430460612);82.6560974121;0.613065953808;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:427;03:29:40:401;1448289940.04;(0.648538064956665, 0.7698971430460612);82.6560974121;0.613065953808;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:461;03:29:40:401;1448289940.04;(0.648538064956665, 0.7698971430460612);82.6560974121;0.613065953808;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:477;03:29:40:471;1448289940.11;(0.6482720851898194, 0.7784808688693576);81.9918899536;0.915409470343;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:494;03:29:40:471;1448289940.11;(0.6482720851898194, 0.7784808688693576);81.9918899536;0.915409470343;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:511;03:29:40:471;1448289940.11;(0.6482720851898194, 0.7784808688693576);81.9918899536;0.915409470343;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:527;03:29:40:471;1448289940.11;(0.6482720851898194, 0.7784808688693576);81.9918899536;0.915409470343;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:563;03:29:40:540;1448289940.21;(0.6800718784332276, 0.7956443892584907);81.6027450562;0.950220231065;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:579;03:29:40:540;1448289940.21;(0.6800718784332276, 0.7956443892584907);81.6027450562;0.950220231065;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:596;03:29:40:540;1448289940.21;(0.6800718784332276, 0.7956443892584907);81.6027450562;0.950220231065;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:610;03:29:40:600;1448289940.24;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:627;03:29:40:600;1448289940.24;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:644;03:29:40:600;1448289940.24;(0, 0);0;0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:681;03:29:40:674;1448289940.27;(0.6765525341033936, 0.7830386055840386);82.80418396;0.90483236999;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:696;03:29:40:683;1448289940.31;(0.6799118995666504, 0.7941877577039931);80.7858276367;0.855110803665;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:713;03:29:40:683;1448289940.31;(0.6799118995666504, 0.7941877577039931);80.7858276367;0.855110803665;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:726;03:29:40:683;1448289940.31;(0.6799118995666504, 0.7941877577039931);80.7858276367;0.855110803665;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:744;03:29:40:734;1448289940.37;(0.6810672283172607, 0.791957770453559);80.7922286987;0.889644706095;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:776;03:29:40:734;1448289940.37;(0.6810672283172607, 0.791957770453559);80.7922286987;0.889644706095;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:794;03:29:40:734;1448289940.37;(0.6810672283172607, 0.791957770453559);80.7922286987;0.889644706095;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:810;03:29:40:802;1448289940.44;(0.6862931728363038, 0.7867112901475695);78.9866409302;0.909987667519;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:828;03:29:40:802;1448289940.44;(0.6862931728363038, 0.7867112901475695);78.9866409302;0.909987667519;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:844;03:29:40:802;1448289940.44;(0.6862931728363038, 0.7867112901475695);78.9866409302;0.909987667519;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:876;03:29:40:872;1448289940.51;(0.8230338573455811, 0.34593302408854165);21.472284317;0.908171783015;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:894;03:29:40:872;1448289940.51;(0.8230338573455811, 0.34593302408854165);21.472284317;0.908171783015;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:910;03:29:40:872;1448289940.51;(0.8230338573455811, 0.34593302408854165);21.472284317;0.908171783015;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:926;03:29:40:872;1448289940.51;(0.8230338573455811, 0.34593302408854165);21.472284317;0.908171783015;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:944;03:29:40:935;1448289940.57;(0.5471215724945069, 0.7612483554416233);35.8485069275;0.616017102649;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:977;03:29:40:935;1448289940.57;(0.5471215724945069, 0.7612483554416233);35.8485069275;0.616017102649;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:40:995;03:29:40:935;1448289940.57;(0.5471215724945069, 0.7612483554416233);35.8485069275;0.616017102649;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:010;03:29:41:001;1448289940.61;(0.5338492393493652, 0.7913935979207357);26.2718467712;0.648757882652;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:026;03:29:41:001;1448289940.61;(0.5338492393493652, 0.7913935979207357);26.2718467712;0.648757882652;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:043;03:29:41:001;1448289940.61;(0.5338492393493652, 0.7913935979207357);26.2718467712;0.648757882652;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:077;03:29:41:065;1448289940.66;(0.532648229598999, 0.8046226819356282);30.6724338531;0.683590826571;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:095;03:29:41:065;1448289940.66;(0.532648229598999, 0.8046226819356282);30.6724338531;0.683590826571;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:110;03:29:41:065;1448289940.66;(0.532648229598999, 0.8046226819356282);30.6724338531;0.683590826571;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:127;03:29:41:065;1448289940.66;(0.532648229598999, 0.8046226819356282);30.6724338531;0.683590826571;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:144;03:29:41:136;1448289940.75;(0.5987046241760254, 0.6127987755669488);77.0571365356;0.74397169225;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:178;03:29:41:136;1448289940.75;(0.5987046241760254, 0.6127987755669488);77.0571365356;0.74397169225;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:195;03:29:41:136;1448289940.75;(0.5987046241760254, 0.6127987755669488);77.0571365356;0.74397169225;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:210;03:29:41:201;1448289940.8;(0.613770580291748, 0.6170908610026042);76.9821243286;0.749234936723;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:228;03:29:41:201;1448289940.8;(0.613770580291748, 0.6170908610026042);76.9821243286;0.749234936723;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:245;03:29:41:201;1448289940.8;(0.613770580291748, 0.6170908610026042);76.9821243286;0.749234936723;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:278;03:29:41:269;1448289940.86;(0.6361069202423095, 0.620635265774197);76.4163513184;0.809879008048;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:295;03:29:41:269;1448289940.86;(0.6361069202423095, 0.620635265774197);76.4163513184;0.809879008048;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:310;03:29:41:269;1448289940.86;(0.6361069202423095, 0.620635265774197);76.4163513184;0.809879008048;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:327;03:29:41:269;1448289940.86;(0.6361069202423095, 0.620635265774197);76.4163513184;0.809879008048;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:344;03:29:41:334;1448289940.94;(0.650006914138794, 0.6298894458346896);76.7328872681;0.889511240354;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:29:41:378;03:29:41:334;1448289940.94;(0.650006914138794, 0.6298894458346896);76.7328872681;0.889511240354;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
