%Timestamp,timestamp_write;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
11:21:45:895;0;0;;0;;0;0;;();(0.0, 0.0);
11:21:45:920;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:45:994;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:45:999;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:003;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:113;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:121;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:128;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:131;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:135;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:138;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:144;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:147;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:177;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:193;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:210;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:231;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:253;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:273;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:290;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:306;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:323;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:358;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:379;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:398;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:46:415;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:806;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:810;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:815;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:819;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:824;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:831;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:836;0;0;;0;;0;0;;();(-2000.0, -2000.0);
11:21:51:841;0;0;;0;;0;0;;();(-2000.0, -2000.0);
