%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
03:36:46:279;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:292;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:301;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:305;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:309;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:313;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:317;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:320;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:324;1448290365.91;(0.7640298366546631, 0.424170642428928);40.3751220703;0.606160642518;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:330;03:36:46:326;1448290365.96;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:333;03:36:46:326;1448290365.96;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:337;03:36:46:326;1448290365.96;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:341;03:36:46:326;1448290365.96;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:344;03:36:46:326;1448290365.96;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:348;03:36:46:326;1448290365.96;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:36:46:351;03:36:46:326;1448290365.96;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
