%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
12:15:50:590;12:15:50:583;1448407909.1;(0.9030418395996094, 0.49240642123752165);21.0357589722;0.818319235148;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(0.0, 0.0);
12:15:50:604;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:611;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:617;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:623;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:626;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:629;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:632;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:634;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:637;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:639;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:642;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:644;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:647;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:650;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:652;12:15:50:593;1448407909.14;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:656;12:15:50:652;1448407909.17;(0.7100013732910156, 0.7621539645724826);81.4796905518;0.826165184076;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:661;12:15:50:653;1448407909.2;(0.7075510501861573, 0.7648165808783637);80.3797149658;0.69164049588;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:664;12:15:50:653;1448407909.2;(0.7075510501861573, 0.7648165808783637);80.3797149658;0.69164049588;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:667;12:15:50:653;1448407909.2;(0.7075510501861573, 0.7648165808783637);80.3797149658;0.69164049588;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:678;12:15:50:653;1448407909.2;(0.7075510501861573, 0.7648165808783637);80.3797149658;0.69164049588;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:695;12:15:50:653;1448407909.2;(0.7075510501861573, 0.7648165808783637);80.3797149658;0.69164049588;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:728;12:15:50:716;1448407909.27;(0.7049710750579834, 0.7701106177435981);80.622177124;0.87184149131;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:745;12:15:50:716;1448407909.27;(0.7049710750579834, 0.7701106177435981);80.622177124;0.87184149131;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:761;12:15:50:716;1448407909.27;(0.7049710750579834, 0.7701106177435981);80.622177124;0.87184149131;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:778;12:15:50:716;1448407909.27;(0.7049710750579834, 0.7701106177435981);80.622177124;0.87184149131;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:795;12:15:50:784;1448407909.34;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:812;12:15:50:784;1448407909.34;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
12:15:50:846;12:15:50:784;1448407909.34;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
