%Timestamp,timestamp_write;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
09:40:45:790;2;0;0;;0;0;(System.String[]);();(0.0, 0.0);
09:40:45:817;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:893;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:893;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:893;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:944;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:944;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:944;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:961;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:45:994;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:011;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:028;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:044;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:069;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:088;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:114;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:137;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:157;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:177;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:198;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:218;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:238;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:254;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:272;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:292;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:46:309;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:683;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:683;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:683;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:683;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:683;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:684;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:684;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:684;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:684;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:684;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
09:40:51:684;2;0;0;;0;0;(System.String[]);();(-2000.0, -2000.0);
