%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:38:33:615;1448308473.13;(0.5035528659820556, 0.36204198201497395);55.8421478271;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:630;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:634;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:639;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:643;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:648;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:652;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:657;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:661;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:664;08:38:33:614;1448308473.19;(0.5035802364349365, 0.36147490607367616);56.0436668396;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:669;08:38:33:664;1448308473.23;(0.503501558303833, 0.36289910210503473);55.8167037964;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:674;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:678;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:681;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:685;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:689;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:693;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:697;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:700;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:704;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:707;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:712;08:38:33:668;1448308473.26;(0.5033174514770508, 0.36293996175130205);56.0636634827;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:738;08:38:33:728;1448308473.33;(0.5036128997802735, 0.3637930976019965);56.0659294128;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:753;08:38:33:728;1448308473.33;(0.5036128997802735, 0.3637930976019965);56.0659294128;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:771;08:38:33:728;1448308473.33;(0.5036128997802735, 0.3637930976019965);56.0659294128;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:787;08:38:33:728;1448308473.33;(0.5036128997802735, 0.3637930976019965);56.0659294128;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:820;08:38:33:798;1448308473.39;(0.5042366027832031, 0.3634429083930122);56.2114944458;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:838;08:38:33:798;1448308473.39;(0.5042366027832031, 0.3634429083930122);56.2114944458;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:853;08:38:33:798;1448308473.39;(0.5042366027832031, 0.3634429083930122);56.2114944458;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:870;08:38:33:860;1448308473.46;(0.5037725925445556, 0.3636957804361979);56.0671768188;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:888;08:38:33:860;1448308473.46;(0.5037725925445556, 0.3636957804361979);56.0671768188;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:921;08:38:33:860;1448308473.46;(0.5037725925445556, 0.3636957804361979);56.0671768188;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:937;08:38:33:928;1448308473.53;(0.5034328937530518, 0.3634164598253038);56.1328811646;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:953;08:38:33:928;1448308473.53;(0.5034328937530518, 0.3634164598253038);56.1328811646;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:971;08:38:33:928;1448308473.53;(0.5034328937530518, 0.3634164598253038);56.1328811646;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:33:988;08:38:33:928;1448308473.53;(0.5034328937530518, 0.3634164598253038);56.1328811646;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:020;08:38:33:996;1448308473.59;(0.5034370422363281, 0.36459698147243924);56.1160697937;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:037;08:38:33:996;1448308473.59;(0.5034370422363281, 0.36459698147243924);56.1160697937;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:054;08:38:33:996;1448308473.59;(0.5034370422363281, 0.36459698147243924);56.1160697937;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:070;08:38:34:060;1448308473.66;(0.5032697200775147, 0.36434427897135413);56.0086288452;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:088;08:38:34:060;1448308473.66;(0.5032697200775147, 0.36434427897135413);56.0086288452;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:120;08:38:34:060;1448308473.66;(0.5032697200775147, 0.36434427897135413);56.0086288452;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:138;08:38:34:128;1448308473.73;(0.5030402660369873, 0.36384896172417536);55.7055664062;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:153;08:38:34:128;1448308473.73;(0.5030402660369873, 0.36384896172417536);55.7055664062;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:171;08:38:34:128;1448308473.73;(0.5030402660369873, 0.36384896172417536);55.7055664062;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:188;08:38:34:128;1448308473.73;(0.5030402660369873, 0.36384896172417536);55.7055664062;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:221;08:38:34:191;1448308473.76;(0.5029819011688232, 0.36401053534613714);55.7455635071;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:236;08:38:34:191;1448308473.76;(0.5029819011688232, 0.36401053534613714);55.7455635071;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:254;08:38:34:191;1448308473.76;(0.5029819011688232, 0.36401053534613714);55.7455635071;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:270;08:38:34:261;1448308473.83;(0.5032841682434082, 0.36469870673285587);55.3483009338;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:38:34:287;08:38:34:261;1448308473.83;(0.5032841682434082, 0.36469870673285587);55.3483009338;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
