%Timestamp,timestamp_write;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
03:29:54:989;2;0;0;0;0;();(0.0, 0.0);
03:29:55:028;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:149;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:173;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:191;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:207;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:224;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:471;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:481;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:491;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:500;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:510;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:517;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:526;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:534;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:542;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:550;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:559;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:567;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:575;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:584;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:591;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:600;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:607;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:619;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:626;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:634;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:641;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:647;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:654;2;0;0;0;0;();(-2000.0, -2000.0);
03:29:55:660;2;0;0;0;0;();(-2000.0, -2000.0);
