%Timestamp,timestamp_write;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
03:34:36:193;;;;;;;;;;;;;;2;0;0;0;0;();(0.0, 0.0);
03:34:36:229;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:310;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:391;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:417;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:541;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:551;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:568;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:574;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:581;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:588;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:594;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:602;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:611;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:620;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:627;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:636;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:646;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
03:34:36:656;;;;;;;;;;;;;;2;0;0;0;0;();(-2000.0, -2000.0);
