%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;DigitalOutp3;DigitalOutp4;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
08:47:28:356;08:47:28:305;1448480842.87;(0.3955302476882935, 0.4904065873887804);57.9771652222;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:358;08:47:28:305;1448480842.87;(0.3955302476882935, 0.4904065873887804);57.9771652222;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:359;08:47:28:305;1448480842.87;(0.3955302476882935, 0.4904065873887804);57.9771652222;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:363;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:365;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:366;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:368;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:369;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:371;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
08:47:28:373;08:47:28:361;1448480842.94;(0.39517812728881835, 0.4913029140896268);57.901309967;1.0;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
