%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:30:07:382;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
04:30:07:386;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:387;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:388;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:388;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:388;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:388;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:388;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:389;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:389;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:389;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:389;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:389;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:390;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:390;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:390;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:391;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:405;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:421;1448034365.42;(0.5517704963684082, 0.6984385808308919);65.1399078369;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:455;04:30:07:435;1448034365.49;(0.550865888595581, 0.698138682047526);65.910949707;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:471;04:30:07:435;1448034365.49;(0.550865888595581, 0.698138682047526);65.910949707;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:488;04:30:07:435;1448034365.49;(0.550865888595581, 0.698138682047526);65.910949707;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:504;04:30:07:504;1448034365.55;(0.5502043247222901, 0.6980050828721789);67.0513076782;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:522;04:30:07:504;1448034365.55;(0.5502043247222901, 0.6980050828721789);67.0513076782;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:555;04:30:07:504;1448034365.55;(0.5502043247222901, 0.6980050828721789);67.0513076782;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:572;04:30:07:571;1448034365.62;(0.5495274543762207, 0.6981854968600802);67.5597000122;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:589;04:30:07:571;1448034365.62;(0.5495274543762207, 0.6981854968600802);67.5597000122;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:604;04:30:07:571;1448034365.62;(0.5495274543762207, 0.6981854968600802);67.5597000122;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:30:07:623;04:30:07:571;1448034365.62;(0.5495274543762207, 0.6981854968600802);67.5597000122;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
