%Timestamp,timestamp_write;timestamp_gotpupil;eyeTrackerTime;normPos;diameter;confidence;nplanes;listofAirplanesonScreen;lastAction;lastActionDetails;lastActionAirplaneNumber;calculatedScore;positiveScore;negativeScore;collidedAirplaneNumbers;targetPositions;collisionPoint
03:32:07:352;1448290086.98;(0.6091786861419678, 0.720297368367513);80.0107040405;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:365;1448290086.98;(0.6091786861419678, 0.720297368367513);80.0107040405;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:373;1448290086.98;(0.6091786861419678, 0.720297368367513);80.0107040405;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:381;1448290086.98;(0.6091786861419678, 0.720297368367513);80.0107040405;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:389;1448290086.98;(0.6091786861419678, 0.720297368367513);80.0107040405;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:394;1448290086.98;(0.6091786861419678, 0.720297368367513);80.0107040405;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:398;1448290086.98;(0.6091786861419678, 0.720297368367513);80.0107040405;1.0;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:402;03:32:07:398;1448290087.0;(0.6083492279052735, 0.7197633531358507);80.3112258911;0.957753145264;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:408;03:32:07:404;1448290087.04;(0.6077443122863769, 0.7189167870415581);80.2805252075;0.966787093288;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:413;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:417;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:420;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:424;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:428;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:431;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:435;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:440;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:444;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:448;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:451;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:455;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
03:32:07:460;03:32:07:406;1448290087.07;(0.6077411651611329, 0.7179681566026476);81.0240478516;0.973280461281;0;0;0;0;0;0;0;0;0;();(-2000.0, -2000.0);
