%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
10:57:32:301;1448057609.73;(0.5493863105773926, 0.61938353644477);62.5983657837;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
10:57:32:306;1448057609.73;(0.5493863105773926, 0.61938353644477);62.5983657837;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:308;1448057609.73;(0.5493863105773926, 0.61938353644477);62.5983657837;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:310;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:312;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:314;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:316;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:318;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:319;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:321;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:323;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:325;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:327;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:329;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:331;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:332;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:337;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:339;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:353;10:57:32:309;1448057609.8;(0.5494642734527588, 0.6195410198635525);62.6523780823;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:370;10:57:32:369;1448057609.83;(0.5495761394500732, 0.6188542260064018);62.7060012817;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:403;10:57:32:369;1448057609.83;(0.5495761394500732, 0.6188542260064018);62.7060012817;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:420;10:57:32:369;1448057609.83;(0.5495761394500732, 0.6188542260064018);62.7060012817;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:436;10:57:32:425;1448057609.9;(0.5496408939361572, 0.6195586734347873);62.7284622192;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:32:452;10:57:32:425;1448057609.9;(0.5496408939361572, 0.6195586734347873);62.7284622192;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:335;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:338;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
10:57:34:340;10:57:34:302;1448057611.77;(0.5428770542144775, 0.524491967095269);62.2043075562;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
