%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
08:14:19:999;1447960457.81;(0.3155250549316406, 0.25050650702582467);27.0847835541;1.0;2;0;0;0;0;();(0.0, 0.0);
08:14:20:018;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:022;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:026;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:030;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:034;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:038;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:042;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:046;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:050;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:053;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:055;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:059;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:063;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:067;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:071;08:14:20:018;1447960457.88;(0.3154007434844971, 0.2504681057400173);26.0697479248;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:151;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:153;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:156;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:159;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:161;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:162;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:165;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:20:167;08:14:20:148;1447960458.01;(0.31581482887268064, 0.25034595065646703);26.9578056335;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:542;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:544;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:545;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:547;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:549;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:551;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:553;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:555;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:557;08:14:25:528;1447960463.34;(0.3158600091934204, 0.25063340928819444);26.5434112549;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
