%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
09:03:44:216;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
09:03:44:220;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:223;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:225;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:227;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:230;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:232;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:234;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:236;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:238;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:240;1448050782.13;(0.3544245004653931, 0.7919160419040256);21.4289932251;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:242;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:243;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:245;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:247;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:249;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:267;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:269;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:271;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:284;09:03:44:241;1448050782.2;(0.3543875217437744, 0.7916163974338107);20.6018123627;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:317;09:03:44:303;1448050782.27;(0.3539984703063965, 0.7920070648193359);21.2802085876;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:333;09:03:44:303;1448050782.27;(0.3539984703063965, 0.7920070648193359);21.2802085876;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:350;09:03:44:303;1448050782.27;(0.3539984703063965, 0.7920070648193359);21.2802085876;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:44:367;09:03:44:303;1448050782.27;(0.3539984703063965, 0.7920070648193359);21.2802085876;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:053;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:058;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:061;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:063;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:065;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:067;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:069;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:071;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:072;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:074;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:076;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:078;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:080;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:082;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:084;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:086;09:03:47:027;1448050785.0;(0.354433274269104, 0.7916556040445963);22.581073761;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:093;09:03:47:091;1448050785.07;(0.3546804189682007, 0.7915740542941623);21.3930110931;0.887299166488;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:095;09:03:47:091;1448050785.07;(0.3546804189682007, 0.7915740542941623);21.3930110931;0.887299166488;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:097;09:03:47:091;1448050785.07;(0.3546804189682007, 0.7915740542941623);21.3930110931;0.887299166488;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:110;09:03:47:091;1448050785.07;(0.3546804189682007, 0.7915740542941623);21.3930110931;0.887299166488;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:144;09:03:47:091;1448050785.07;(0.3546804189682007, 0.7915740542941623);21.3930110931;0.887299166488;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:160;09:03:47:160;1448050785.13;(0.3548264980316162, 0.791111691792806);21.8658294678;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:177;09:03:47:160;1448050785.13;(0.3548264980316162, 0.791111691792806);21.8658294678;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:194;09:03:47:160;1448050785.13;(0.3548264980316162, 0.791111691792806);21.8658294678;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:210;09:03:47:160;1448050785.13;(0.3548264980316162, 0.791111691792806);21.8658294678;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:243;09:03:47:225;1448050785.2;(0.3540984869003296, 0.7914641486273871);22.0704555511;0.923850241392;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:260;09:03:47:225;1448050785.2;(0.3540984869003296, 0.7914641486273871);22.0704555511;0.923850241392;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:275;09:03:47:225;1448050785.2;(0.3540984869003296, 0.7914641486273871);22.0704555511;0.923850241392;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:293;09:03:47:292;1448050785.27;(0.3544171810150146, 0.7912456300523546);22.0473003387;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:309;09:03:47:292;1448050785.27;(0.3544171810150146, 0.7912456300523546);22.0473003387;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:342;09:03:47:292;1448050785.27;(0.3544171810150146, 0.7912456300523546);22.0473003387;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:358;09:03:47:292;1448050785.27;(0.3544171810150146, 0.7912456300523546);22.0473003387;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:375;09:03:47:359;1448050785.33;(0.35436334609985354, 0.7917206658257379);22.9561405182;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:392;09:03:47:359;1448050785.33;(0.35436334609985354, 0.7917206658257379);22.9561405182;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:425;09:03:47:424;1448050785.4;(0.3547254800796509, 0.7910862816704645);22.3571300507;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:442;09:03:47:424;1448050785.4;(0.3547254800796509, 0.7910862816704645);22.3571300507;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:458;09:03:47:424;1448050785.4;(0.3547254800796509, 0.7910862816704645);22.3571300507;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:474;09:03:47:424;1448050785.4;(0.3547254800796509, 0.7910862816704645);22.3571300507;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:492;09:03:47:424;1448050785.4;(0.3547254800796509, 0.7910862816704645);22.3571300507;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:524;09:03:47:492;1448050785.47;(0.3545524120330811, 0.7913655387030707);21.39661026;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:541;09:03:47:492;1448050785.47;(0.3545524120330811, 0.7913655387030707);21.39661026;1.0;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:557;09:03:47:556;1448050785.53;(0.3544423580169678, 0.7908328162299262);20.2360420227;0.992266684625;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:575;09:03:47:556;1448050785.53;(0.3544423580169678, 0.7908328162299262);20.2360420227;0.992266684625;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:591;09:03:47:556;1448050785.53;(0.3544423580169678, 0.7908328162299262);20.2360420227;0.992266684625;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
09:03:47:623;09:03:47:556;1448050785.53;(0.3544423580169678, 0.7908328162299262);20.2360420227;0.992266684625;;;;;;;;;;;;;;2;0;0;;0;0;();();(-2000.0, -2000.0);
