%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
12:02:51:729;1448277531.34;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
12:02:51:732;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:734;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:736;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:738;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:740;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:741;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:743;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:745;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:747;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:749;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:751;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:753;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:755;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:757;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:759;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:761;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:763;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
12:02:51:771;12:02:51:723;1448277531.4;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
