%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
04:23:01:686;;;;;;;;;;;;;;1447946579.32;(0.3218050479888916, 0.8092632505628798);36.2050132751;1.0;2;0;0;0;0;();(0.0, 0.0);
04:23:01:694;;;;;;;;;;;;;;1447946579.32;(0.3218050479888916, 0.8092632505628798);36.2050132751;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:699;;;;;;;;;;;;;;1447946579.32;(0.3218050479888916, 0.8092632505628798);36.2050132751;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:704;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:709;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:713;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:717;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:721;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:725;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:729;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:733;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:737;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:741;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:745;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:749;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:01:752;;;;;;;;;;;;;;04:23:01:701;1447946579.39;(0.3219229936599731, 0.8096391677856445);35.3301200867;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:056;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:059;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:061;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:063;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:066;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:067;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:070;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:072;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:074;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:076;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:077;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:079;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:080;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:082;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:083;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:085;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:02:086;;;;;;;;;;;;;;04:23:02:037;1447946579.72;(0.32164275646209717, 0.8098357094658746);35.8463554382;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:076;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:079;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:082;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:084;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:088;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:090;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:092;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:095;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:097;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:099;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:101;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:103;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:105;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:107;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:109;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:110;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:112;;;;;;;;;;;;;;04:23:04:045;1447946581.72;(0.32173311710357666, 0.8095051447550455);36.3794250488;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
04:23:04:115;;;;;;;;;;;;;;04:23:04:115;1447946581.79;(0.32154738903045654, 0.8100369347466363);35.7997016907;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
