%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:37:48:636;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
04:37:50:444;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:444;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:444;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:445;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:445;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:445;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:445;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:446;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:446;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:446;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:446;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:446;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:448;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:448;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:470;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:488;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:503;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:520;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:537;04:37:50:417;1448034828.45;(0.5503081798553466, 0.7078157424926758);70.0820541382;0.967517828534;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:570;04:37:50:566;1448034828.49;(0.5545560836791992, 0.7082018322414823);69.98412323;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:587;04:37:50:566;1448034828.49;(0.5545560836791992, 0.7082018322414823);69.98412323;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:603;04:37:50:566;1448034828.49;(0.5545560836791992, 0.7082018322414823);69.98412323;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:620;04:37:50:566;1448034828.49;(0.5545560836791992, 0.7082018322414823);69.98412323;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
