%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:27:10:521;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(0.0, 0.0);
04:27:10:523;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:523;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:524;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:524;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:524;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:524;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:524;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:524;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:524;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:525;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:525;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:525;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:525;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:525;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:525;04:27:10:506;1448034188.56;(0.6366382598876953, 0.6922369003295898);72.7082901001;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:549;04:27:10:548;1448034188.59;(0.6363478183746338, 0.6928257624308268);72.3321151733;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:549;04:27:10:548;1448034188.59;(0.6363478183746338, 0.6928257624308268);72.3321151733;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:582;04:27:10:548;1448034188.59;(0.6363478183746338, 0.6928257624308268);72.3321151733;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:599;04:27:10:585;1448034188.66;(0.6367122173309326, 0.6926523420545789);72.7002563477;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:616;04:27:10:585;1448034188.66;(0.6367122173309326, 0.6926523420545789);72.7002563477;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:27:10:631;04:27:10:629;1448034188.69;(0.6368914127349854, 0.6925100750393338);72.6701126099;1.0;0;0;0;;0;0;();();(-2000.0, -2000.0);
