%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
11:45:25:810;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
11:45:25:817;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:820;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:822;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:824;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:826;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:829;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:831;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:833;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:835;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
11:45:25:838;1448060483.27;(0.37468957901000977, 0.46686371697319884);67.0923843384;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
