%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
09:12:08:700;1448051286.61;(0.4376994609832764, 0.4017458173963758);58.9028587341;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
09:12:08:706;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:710;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:712;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:714;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:716;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:717;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:718;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:720;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:721;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:722;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:723;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:725;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:726;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:727;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:729;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:731;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:732;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:750;09:12:08:690;1448051286.64;(0.4384904861450195, 0.40288522508409286);59.503993988;0.988067377571;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:767;09:12:08:755;1448051286.71;(0.4400022029876709, 0.4059246910942925);60.1143341064;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:783;09:12:08:755;1448051286.71;(0.4400022029876709, 0.4059246910942925);60.1143341064;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:800;09:12:08:755;1448051286.71;(0.4400022029876709, 0.4059246910942925);60.1143341064;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:817;09:12:08:755;1448051286.71;(0.4400022029876709, 0.4059246910942925);60.1143341064;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:08:850;09:12:08:819;1448051286.77;(0.44030179977416994, 0.4087088690863715);60.5101661682;1.0;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:750;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:753;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:755;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
09:12:10:758;09:12:10:744;1448051288.67;(0.4689985752105713, 0.22827538384331603);25.353055954;0.627724429764;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
