%Timestamp,timestamp_write;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
09:14:14:837;2;0;0;0;0;();(0.0, 0.0);
09:14:14:868;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:074;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:077;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:079;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:082;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:085;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:089;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:092;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:095;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:098;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:102;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:454;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:456;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:460;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:465;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:469;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:472;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:476;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:480;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:482;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:486;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:487;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:488;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:489;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:490;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:492;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:15:495;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:20:865;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:20:867;2;0;0;0;0;();(-2000.0, -2000.0);
09:14:20:869;2;0;0;0;0;();(-2000.0, -2000.0);
