%Timestamp,timestamp_write;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
11:15:07:124;0;0;;0;;0;0;();();(0.0, 0.0);
11:15:07:150;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:206;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:211;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:696;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:699;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:703;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:707;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:711;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:714;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:718;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:722;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:725;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:729;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:731;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:735;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:737;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:740;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:742;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:746;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:750;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:757;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:760;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:763;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:773;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:07:790;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:179;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:190;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:200;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:210;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:218;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:224;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:230;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:235;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:240;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:246;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:253;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:260;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:265;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:270;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:276;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:281;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:291;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:296;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:303;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:308;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:312;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:315;0;0;;0;;0;0;();();(-2000.0, -2000.0);
11:15:13:319;0;0;;0;;0;0;();();(-2000.0, -2000.0);
